Reviews for Fastrack,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Very smooth and crisp display
Go for it.",Under 18,M," Rupnagar, Punjab",Student,February,2020,Q1
Good. After using 5 days,55 and above,M," Pimpri Chinchwad, Maharashtra",Retired,March,2024,Q1
Aswome product ☺️☺️,55 and above,M," Kolkata, West Bengal",Retired,February,2021,Q1
Good,45-54,M," Bengaluru, Karnataka",Freelancer,September,2023,Q3
Nice,25-34,M," Raiganj, West Bengal",Freelancer,April,2023,Q2
Very nice watch,25-34,M," Morbi, Gujarat ",Freelancer,July,2022,Q3
Very nice product with always on display good strip quality nice,18-24,M," Bareilly, Uttar Pradesh",Working Professional,January,2023,Q1
Looking cool and smart 😎,35-44,M," Dakshin Dinajpur District, West Bengal",Working Professional,April,2021,Q2
Weight less not heavy products.. Awesome products.. Battery backup is best..thanks Flipkart.,18-24,M," Chennai, Tamil Nadu",Working Professional,July,2023,Q3
So beautiful 😍 just looking like a wow❤️,25-34,M," Ernakulam, Kerala",Freelancer,March,2024,Q1
Nice 👍very happy❤,Under 18,M," Krishnagar, West Bengal",Student,December,2024,Q4
"Product is good and of course it's a brand, so look very nice and response is very good, all ok but two cons that is limited wallpaper in this smart watch, and second one is loud speaker not so good, on the other hand microphone is good.
Display super, look ok, and Overall I am happy with this product.",Under 18,M," Diamond Harbour, West Bengal",Student,September,2022,Q3
Nice,45-54,M," Kalyan, Maharashtra",Freelancer,December,2023,Q4
Nice watch😍,Under 18,M," Paschim Medinipur, West Bengal ",Student,June,2024,Q2
Wondrfull,55 and above,M," Bijapur, Karnataka ",Retired,March,2022,Q1
Very useful product,Under 18,M," Pashchim Champa, Chhattisgarh",Student,August,2020,Q3
Worst calling feature,25-34,M," Adoni, Andhra Pradesh",Freelancer,April,2023,Q2
"I am giving review after 1 week of purchase.
design is very good 5 rating
features are good 5 rating
watch look is good 5 rating
but i am dissappoint about its battery drainage only 2 days will come after 100% charge of watch...",35-44,M," Belgaum, Karnataka ",Freelancer,March,2024,Q1
"Battery was after full charge 20 days running it's good
Activities are good or other functions also good value for money",Under 18,M," Indore, Madhya Pradesh",Student,May,2021,Q2
"This is Very Good Smartwatch, Super AMOLED display, Display Quality is very good, It has ringtone as well as message tone. Always On Display is good. but only 2 options analog and digital. there are 100 Watch faces available all are good. I used in rain, showers no issues faced till now. Normally battery last 8 to 10 days but in AOD mode it lasts 3 Days, In smart AOD mode it lasts 4 Days. AOD not visible under direct sunlight but watch face is good visibility under Sunlight put brightness 60 ...
READ MORE",45-54,M," Bengaluru, Karnataka",Working Professional,February,2024,Q1
"After a long search I have ordered the watch as it has a calling feature in this budget with other features which is really amazing

Pros
1. Light weight and comfortable
2. Seamless calling feature with clarity
3. I used to wear the watch in rain and washing hands. Never had issue in the function. Thanks to the iprating

Cons :
1. Display glass is not Scratch resistant. It got easily scratched . It would be great atleast they provide an scratch card applied on it

2. The calculator fun...
READ MORE",25-34,M," Tirupur, Tamil Nadu",Freelancer,June,2020,Q2
Excellent 👌👍 value of money perfect.,25-34,M," Vadodara, Gujarat",Freelancer,August,2021,Q3
fairly well,35-44,M," North Twenty Four Parganas District, West Bengal",Working Professional,January,2022,Q1
i like this Fastrack fs1+smart watch ⌚ very much 💖 best watch ⌚,18-24,M," Alwar, Rajasthan",Working Professional,August,2022,Q3
"Thank You Flipcart..!
Please Go With This Watch 🔥❤️",45-54,M," Buxar, Bihar",Freelancer,July,2023,Q3
Value for money............ I love fastrak,18-24,M," Hyderabad, Telangana",Working Professional,November,2022,Q4
It's looking so sexy 🥵 so I like it 😍,25-34,M," Bengaluru, Karnataka ",Working Professional,January,2020,Q1
Nice product I am so happy 😊,55 and above,M," Bhagalpur, Bihar ",Retired,December,2022,Q4
"This review after one month usage, battery was good, display colors are vibrant and brightness also gud performance in outdoor usage, health tracking also not bad, but fastrack application is not gud they need more upgrade and limited facility only given. Thank u.. 🤘",45-54,M," Tiruchirappalli, Tamil Nadu",Freelancer,October,2022,Q4
Nice watch value for money,35-44,F," Anantapur, Andhra Pradesh",Homemaker,May,2020,Q2
"I'm so happy
Super Quality 😉",18-24,M," Jamui, Bihar",Freelancer,March,2021,Q1
"Battery backup extremely good ,
Design is very simple and standard ,
Features are very good ,
Top notch build quality ❤️",Under 18,M," Koch Bihar, West Bengal",Student,September,2020,Q3
"I purchased two watches both are running good ,Very good watch specially from Fastrack brand , size is very big ,tracking activity are not so accurate but overall ok",35-44,M," Siliguri, West Bengal",Working Professional,October,2023,Q4
Good,35-44,M," Saharsa, Bihar ",Freelancer,October,2024,Q4
Value of money,18-24,M," Warud, Maharashtra",Freelancer,July,2024,Q3
Good,55 and above,M," Krishna, Andhra Pradesh",Retired,March,2022,Q1
Good produced,25-34,M," Akola, Maharashtra ",Working Professional,September,2020,Q3
Awesome watch 🤩,45-54,M," Vasai Virar, Maharashtra",Working Professional,February,2022,Q1
"What features about the different sports mode 110+ where r they ???? Sports mode features r not upto the mark, no pause options. Timer r set for the sport modes which is not ok as we cant keep updating it all the time. Kindly update the features so that it can easily usable",25-34,M," Chitapur, Karnataka",Freelancer,October,2023,Q4
Very nice just go for it ❤️,55 and above,F," Karimganj, Assam ",Homemaker,July,2020,Q3
Value for money product.....Nice watch,25-34,M," Mohali, Punjab",Working Professional,June,2024,Q2
"Best watch at this price.
Fastrack Never disappoint you 🧡",35-44,M," Banda, Uttar Pradesh",Freelancer,December,2022,Q4
"Happy with the purchase
Slightly big on my wrist but satisfied with the look and quality
Still figuring the settings 😅
All in all its worth the price",55 and above,F," Mumbai, Maharashtra",Homemaker,March,2023,Q1
Very good ❤️ im happy,35-44,M," Durgapur, West Bengal",Working Professional,March,2024,Q1
I am very happy,18-24,F," Bengaluru, Karnataka",Working Professional,July,2020,Q3
Superb product.very nice,35-44,F," Turuvekere, Karnataka",Student,February,2023,Q1
Awesome 😎👍,35-44,F," Murshidabad, West Bengal",Homemaker,September,2020,Q3
Nice,25-34,M," Deoghar, Jharkhand",Freelancer,August,2023,Q3
This product is very good 👍,Under 18,M," Patna, Bihar ",Student,December,2021,Q4
You can rest assured is always comfortable all time and diving it not problem you have a good product 🫡,18-24,F," Hugli District, West Bengal",Working Professional,November,2021,Q4
"Looking good, battery backup is good, quality is also good and value for money.",Under 18,F," Bengaluru, Karnataka",Student,January,2021,Q1
VERY GOOD QUALITY,Under 18,M," Virudhunagar District, Tamil Nadu",Student,January,2023,Q1
Superb 🔥❤ loveit🔥,18-24,M," Baruipur, West Bengal",Freelancer,June,2021,Q2
Ultimate Battery,45-54,M," Mysuru, Karnataka",Working Professional,September,2024,Q3
Superb Watch in this price,45-54,M," Basantapur, Uttar Pradesh",Working Professional,August,2021,Q3
"Value for money product, Thank you Flipkart",55 and above,M," Kalyan, Maharashtra",Retired,November,2021,Q4
Very good👍,55 and above,M," Bengaluru, Karnataka ",Retired,February,2021,Q1
Superb watch,18-24,F," Ghaziabad, Uttar Pradesh",Working Professional,August,2023,Q3
"nice watch sushil das Murshidabad, West Bengal👍👍",55 and above,M," Bidhan Nagar, West Bengal",Retired,November,2023,Q4
Nice,18-24,F," Vizianagaram, Andhra Pradesh ",Working Professional,April,2023,Q2
Good product but poor display quality and touch response is very weak. 🙂,Under 18,M," Puri, Odisha ",Student,September,2024,Q3
Good,55 and above,M," Bhagalpur, Bihar",Retired,February,2023,Q1
Worth of Money 🤑💰,45-54,M," Malda, Madhya Pradesh",Working Professional,February,2020,Q1
Nice product ❤️😍😍😍,18-24,F," Kalyani, West Bengal",Working Professional,September,2023,Q3
Nice,18-24,F,"  Rangareddy, Telangana ",Working Professional,November,2020,Q4
Value for money,45-54,M," Kovil Palayam, Tamil Nadu",Freelancer,August,2021,Q3
Awesome product and superb offer thanks to Flipkart,18-24,F," Ganjam, Odisha ",Working Professional,April,2022,Q2
Good track steps and products quality excellent,45-54,M," Ahmedabad, Gujarat",Freelancer,January,2023,Q1
Bad,18-24,F," Dhenkanal, Odisha",Working Professional,February,2024,Q1
I like the calling and menu style the most,25-34,F," Raipur, Chhattisgarh",Homemaker,January,2020,Q1
Ragib nice podk,45-54,M," Rajpur Bazar, West Bengal",Freelancer,November,2021,Q4
Dizine is assom fast charging Battery life is good iam full satisfy value of money thank you for fastrack,25-34,M," Jagtial, Telangana",Working Professional,December,2022,Q4
Nice watch recommended for buying,55 and above,M," Bengaluru, Karnataka",Retired,September,2022,Q3
Excellent 👌,35-44,M," Amarpur, Bihar",Freelancer,May,2023,Q2
Amazing watch,45-54,M," Pratapgarh, Uttar Pradesh ",Freelancer,May,2022,Q2
Very nice,Under 18,F," Bela Pratapgarh, Uttar Pradesh",Student,January,2022,Q1
Loved,45-54,M," Ahmedabad, Gujarat",Working Professional,June,2023,Q2
Very,55 and above,F," Mandya, Karnataka ",Homemaker,December,2021,Q4
I m so happy 😊😊,35-44,M," Sricity, Andhra Pradesh",Freelancer,April,2020,Q2
Go for it,55 and above,F," Sheikhpura, Bihar",Homemaker,August,2024,Q3
Nice product,45-54,M," Zirakpur, Punjab",Working Professional,December,2024,Q4
Watch is not getting synchronised properly and keeps getting disconnected. Recommend for those who want to check only time.,45-54,F," Bengaluru, Karnataka",Homemaker,January,2021,Q1
Best,35-44,F," Khopoli, Maharashtra",Homemaker,May,2020,Q2
Good 😊,Under 18,M," North Lakhimpur, Uttar Pradesh",Student,January,2021,Q1
Worth,Under 18,F," Hyderabad, Telangana",Working Professional,April,2024,Q2
Charger not good,18-24,M," Kaushambi District, Uttar Pradesh",Freelancer,September,2024,Q3
Good,18-24,M," Mumbai, Maharashtra",Freelancer,June,2022,Q2
Very good product.. Fastrack🤍 thank you flipkart..,45-54,F," Sarupathar, Assam",Homemaker,February,2023,Q1
Good,18-24,M," Anjuna, Goa",Freelancer,January,2021,Q1
Awesome 👍,45-54,M," Jabalpur, Madhya Pradesh",Working Professional,January,2021,Q1
Product is good I love it,Under 18,F," Chimakurthy, Andhra Pradesh",Student,November,2024,Q4
Good quality thanks for flipkart,45-54,F," Medchal Malkajgiri District, Telangana",Homemaker,October,2024,Q4
Good p,18-24,M," Berhampur, Odisha",Freelancer,June,2023,Q2
This watch is very beautiful,25-34,F," Azamgarh, Uttar Pradesh",Working Professional,September,2024,Q3
