Reviews for Boult,Age,Gender,Location,        Occupation,Month,Year,Quarter
Very good display,Under 18,F," Baleshwar, Gujarat",Student,April,2021,Q2
"This watch (Rover Boult) is good ,The display of this watch Contain some black round empty space ,Thanks for the three straps.",25-34,F," Kakkanad, Kerala",Homemaker,March,2024,Q1
Good,45-54,M," Gurdaspur District, Punjab",Freelancer,October,2020,Q4
Everything is fine except its AOD,Under 18,M," Alappuzha, Kerala",Student,June,2021,Q2
"I bought this for 2499. Price wise it is a good selection with Amoled Display. Connectivity also spot on, no problem for that. Battery drains quickly with Bluetooth calling and Aod. Coming towards health tracking results are ok ok.",45-54,M," Thiruvananthapuram, Kerala",Freelancer,February,2024,Q1
Best 👌 watch ⌚ this range,25-34,M," New Delhi, Delhi",Freelancer,March,2021,Q1
Super watch good product,35-44,M," Uthamapalayam, Tamil Nadu",Freelancer,July,2021,Q3
"Good one, but display size could have been bigger",Under 18,M," Udupi, Karnataka",Student,October,2022,Q4
"20 days back I got this watch.battery,strap,display was good, but tracking modes are not satisfied its working average only.thanks",55 and above,M," Coimbatore, Tamil Nadu",Retired,June,2020,Q2
Good value for money product,18-24,M,"  Pune, Maharashtra ",Freelancer,January,2024,Q1
2500 enough of this smart watch,55 and above,F," Gandhinagar, Gujarat",Homemaker,November,2023,Q4
"Good looking watch, brightness is good but Bluetooth connection is poor when you change a watch face with boult track app.",18-24,M," Nagaon, Maharashtra",Working Professional,October,2023,Q4
"Value for money ... I purchased this during launch offer and it's been 6 days I am using it .. I really love the display ( amoled + 1000nits brightness) ....Touch is very buttery smooth ... Battery backup is also good it gives 5-6 days battery backup without using bt calling and 1.5-2 days with bt calling ...Health feature is 90% accurate (it does not give reading on surfaces) ... Also it have cool watch faces .... And comes with IP68 rating .... It also have additional feature of setting pa...
READ MORE",45-54,F," Bhadravati, Maharashtra",Homemaker,February,2024,Q1
"Perfect one in affordable price
Good connectivity
Good speaker
Brightest display
Classic stylish",18-24,M," Ysr District, Andhra Pradesh",Working Professional,June,2021,Q2
"Nice Product 👍🏻
Thanks Flipkart ✨
Highly Recommended to Purchase 💐",18-24,M," Dhenkanal, Odisha",Working Professional,July,2022,Q3
Good looking but Bezel little Large from first view ...Error when connected to boult app.. pedometer have some false reading..,45-54,M," Mysuru, Karnataka",Working Professional,March,2020,Q1
Good product 👍,55 and above,F," Bengaluru, Karnataka",Homemaker,October,2022,Q4
Good lock,25-34,M," Dhanbad, Jharkhand",Working Professional,June,2022,Q2
Good product awesome,25-34,F," Bengaluru, Karnataka",Homemaker,October,2020,Q4
Absolutely best by boult...just awesome at this price range..Loved it.. Highly recommended.,45-54,F," Raipur, Chhattisgarh",Homemaker,February,2024,Q1
Must buy this watch. absolutely stunning watch,Under 18,F," Vadodara, Gujarat",Student,April,2023,Q2
Very good watch,55 and above,M," Visakhapatnam, Andhra Pradesh",Retired,August,2020,Q3
Nice product ..value for money.👍👍,25-34,M," Bhiwadi, Rajasthan",Working Professional,February,2024,Q1
Best stylish smart watch in market.,35-44,M," Karimganj, Assam",Working Professional,January,2020,Q1
"The product is ok
But, after 7th day it's not working
And the service centre is not in TVM,Kerala",35-44,F," Thiruvananthapuram, Kerala",Homemaker,January,2022,Q1
"Nice product,",25-34,M," Surat, Gujarat",Freelancer,February,2023,Q1
Good product with the best features. Am so happy to have this on my wrist because it looks so sexy and simply superb to my hand. Gives a classy look and also tracks nice. Don't hesitate to buy this product.,55 and above,M," Visakhapatnam, Andhra Pradesh",Retired,September,2020,Q3
Very good product,55 and above,M," Jajapur, Odisha ",Retired,April,2024,Q2
"One of the best smart watches in this price range. The build quality is really nice and it looks quite elegant on the wrist. Would recommend it to anyone who wants to buy a smart watch at this price point

So Beautiful, So Elegant 😍
Just looking like a waow 🔥❤️",25-34,M," Khagaria, Bihar",Working Professional,December,2020,Q4
"At the time of purchasing I was doubting about the build quality and functioning. Once I started using I am happy with the look and build quality, while exploring the features I am so happy for purchasing this watch. Battery is also running good after my daily usage till now I didn't charge after my first charge. Those people who looks for better smart watch for affordable price I recommend them to get this watch",18-24,M," Bengaluru, Karnataka",Working Professional,February,2020,Q1
"Quality is so fantastic in that reasonable price, looks so fantastic and such a premium smartwatch, battery backup also so mind-blowing, i purchased for my brother and he loves too good.",18-24,M," Bulandshahr, Uttar Pradesh",Working Professional,February,2022,Q1
standard look and quality,55 and above,M," Kolkata, West Bengal",Retired,March,2023,Q1
"Best watch ⌚
Me very happy",18-24,M," Sant Kabir Nagar, Uttar Pradesh",Freelancer,January,2023,Q1
"The design of this watch is modern and looks appealing
It has a lot of features available and is also Super comfortable to wear.
The watch faces collection is very good The apps supported are good Voice call audio is also great.",25-34,F," Harnaut, Bihar",Homemaker,June,2021,Q2
Nice product 😁,18-24,M," Madhubani, Bihar ",Freelancer,September,2023,Q3
Belt mirror,Under 18,M," Porvorim, Goa",Student,January,2021,Q1
Just like wow 😲,Under 18,M," Angamaly, Kerala",Student,October,2023,Q4
The best product smart watch boult,25-34,F," Gwalior, Madhya Pradesh",Homemaker,November,2020,Q4
Nice,55 and above,M," Hyderabad, Telangana",Retired,January,2024,Q1
This watch is wow . Quality is very good 👍 performance is so good......,35-44,F," Malda, Madhya Pradesh",Homemaker,March,2023,Q1
Great,25-34,M," Jamui, Bihar ",Freelancer,July,2022,Q3
"Quality wise its so fantastic and looks so mind-blowing quality and looks so premium quality watch, build quality is so perfect and battery backup also too good.",35-44,F," Bulandshahr, Uttar Pradesh",Homemaker,August,2022,Q3
Nice product,45-54,F," Razole, Andhra Pradesh",Homemaker,January,2024,Q1
Colour fad,18-24,M," Agra, Uttar Pradesh",Working Professional,August,2022,Q3
"Almost 6 months I have used.
1.battery life good
2.should be improved to built quality and design.",35-44,F," Chennai, Tamil Nadu",Homemaker,April,2020,Q2
Don't buy! The seller is a fraud. Many requested for return. But they are not providing return or exchange. Not proper finishing.,55 and above,M,"  Pune, Maharashtra",Retired,August,2021,Q3
"Value for money, Nice design. All function working. Thank you Flipkart",Under 18,M," Shirur, Maharashtra",Student,February,2020,Q1
Good,55 and above,M," Bengaluru, Karnataka",Retired,May,2023,Q2
Super,Under 18,F," Aligarh, Uttar Pradesh ",Student,September,2022,Q3
"I have been using the watch for about a week now, and I am very impressed with it. The watch is very well-built and has a sleek, stylish design. It is also very comfortable to wear, even for long periods of time.
The watch has a number of features that I find very useful. The fitness tracker is very accurate and provides me with a lot of information about my workouts. The heart rate monitor is also very accurate and has helped me to keep track of my heart health. The sleep tracker is also ver...
READ MORE",45-54,M," Nellore, Andhra Pradesh",Working Professional,December,2020,Q4
Pls don't refer to the star rating as these are fake. Company's executive will call after purchasing and will ask to give 5 star rating and in return they will provide extended warranty. Very poor battery back up. Not meet my expectations.,45-54,M," Bengaluru, Karnataka",Freelancer,October,2024,Q4
Display problem,45-54,M," Kolkata, West Bengal",Freelancer,June,2023,Q2
Chain colour Exist,35-44,M," Tikamgarh, Madhya Pradesh",Working Professional,November,2020,Q4
Nice watch but battery backup is not very much satisfying,18-24,M," Balangir, Odisha",Freelancer,July,2024,Q3
Nice product,35-44,F," Baleshwar, Gujarat",Homemaker,September,2020,Q3
Nice product,45-54,F," Mumbai, Maharashtra",Homemaker,December,2022,Q4
Works great. Budget frien,55 and above,F," Jhargram, West Bengal",Homemaker,June,2021,Q2
Awsm,Under 18,F," Gurugram, Haryana",Student,November,2024,Q4
The quality of the watch is worthless,Under 18,M," Rourkela, Odisha",Student,February,2020,Q1
Battery power problem,45-54,M," Thanjavur, Tamil Nadu ",Freelancer,February,2024,Q1
After 3 months its not charging,25-34,M," Bolpur, West Bengal",Working Professional,June,2024,Q2
Very good condition watch,35-44,M," Ahmedabad, Gujarat",Freelancer,August,2020,Q3
Value for money worth it❤️,55 and above,M," Chennai, Tamil Nadu",Retired,April,2021,Q2
Amazing i loved,55 and above,F," Angamaly, Kerala",Homemaker,July,2022,Q3
"After Purchase this product display got lines and touch is not working.
Strap color got faded.",45-54,F," Tiruvallur, Tamil Nadu",Homemaker,November,2024,Q4
Nice and cool product 👍,55 and above,F," Bhilai, Chhattisgarh",Homemaker,November,2022,Q4
Display not wo,Under 18,M," Nainital, Uttarakhand",Student,June,2021,Q2
The screen began to flicker and it's not worth it for the money,45-54,M," Tuticorin, Tamil Nadu",Working Professional,September,2023,Q3
Good very good,Under 18,M," Bagalkot, Karnataka",Student,February,2021,Q1
Good,25-34,M," Agartala, Tripura",Working Professional,June,2021,Q2
Good,Under 18,M," Surat, Gujarat ",Student,May,2022,Q2
Colour dammage,35-44,M,"  Pune, Maharashtra ",Working Professional,May,2020,Q2
It's 2 good 👍 very nice thank you Flipkart,25-34,F," Bhiwandi, Maharashtra",Homemaker,December,2023,Q4
Nice product 😁,18-24,M," Bhatpara, West Bengal",Working Professional,April,2021,Q2
Very Reasonable and Smart,18-24,F," Aurangabad, Maharashtra",Working Professional,June,2024,Q2
To poor,Under 18,M," Mumbai, Maharashtra",Student,December,2020,Q4
Good,Under 18,F," Patnagarh,  Odisha",Student,January,2021,Q1
Nice 👍 product not west of money 💰 good quality,55 and above,M," Bokaro Steel City, Jharkhand",Retired,November,2022,Q4
Nice,45-54,M," Madhubani, Bihar",Freelancer,July,2022,Q3
Design and display awesome,45-54,F," Mathura, Uttar Pradesh",Homemaker,October,2023,Q4
Happy 😊🥳,35-44,M," Purnia, Bihar",Working Professional,March,2022,Q1
Ok ok,35-44,M," New Delhi, Delhi",Working Professional,September,2021,Q3
Nice product,55 and above,M," Agartala, Tripura",Retired,July,2020,Q3
"Bad product in After days Automatic display not work bad product in After days don,t respond in messages",25-34,M," Kurnool, Andhra Pradesh ",Freelancer,August,2024,Q3
Nice design 👌 value for money,35-44,M," Varanasi, Uttar Pradesh",Student,December,2020,Q4
Good watch,18-24,M," Mallawan, Uttar Pradesh",Freelancer,February,2024,Q1
Worst experience with Boult this smartwatch showing image wonderful in website but it's really cheap colour and cheap quality do not buy best of money and Flipkart customer was saying lie it's not helping you a to reply I will try fighting replacement and sending all photos it's coming to colours of money,35-44,M," Shimoga, Karnataka",Working Professional,December,2023,Q4
Adipoli super product tk flpkart,25-34,F," Ezhupunna, Kerala",Homemaker,August,2022,Q3
Good,18-24,M," Nalbari, Assam",Working Professional,September,2022,Q3
"Great watch for the monitoring your bp, heart rate with precise range",Under 18,M," Alwar, Rajasthan",Student,July,2021,Q3
Very nice 👍👍👍🙂🙂🙂,Under 18,F," Bengaluru, Karnataka",Student,May,2021,Q2
Nice 🙂,55 and above,F," Chennai, Tamil Nadu",Homemaker,October,2022,Q4
"The watch is good, the battery is also running well, the display is also good, it is a very good watch ⌚",55 and above,M," Vindhya Nagar Ntpc Township, Madhya Pradesh",Retired,May,2020,Q2
Excellent 👌👌👌👌,25-34,M," Khowai District, Tripura",Freelancer,August,2020,Q3
Loved it and worth it..,18-24,F," New Delhi, Delhi",Working Professional,September,2022,Q3
Value for money 💰 good 👍 product,35-44,M," Deoria, Uttar Pradesh ",Working Professional,November,2021,Q4
Nice product,25-34,M," Umred, Maharashtra",Freelancer,December,2020,Q4
Very nice product,25-34,M," Hyderabad, Telangana",Working Professional,June,2021,Q2
Great,55 and above,M," Kannur District, Kerala",Retired,April,2020,Q2
Superb,18-24,M," New Delhi, Delhi",Working Professional,April,2020,Q2
No waterproof,Under 18,F," Kallakkurichi District, Tamil Nadu",Student,January,2020,Q1
Bad battery wake up,25-34,M," Mira, Maharashtra",Freelancer,January,2022,Q1
Super product,45-54,M," Tharad, Gujarat",Freelancer,October,2021,Q4
Nice 👍,45-54,M," Janjgir, Chhattisgarh",Working Professional,August,2021,Q3
Good product...,35-44,M," South Twenty Four Parganas District, West Bengal",Working Professional,December,2022,Q4
"Product is very good 👍😊
Happy 😊",45-54,M," Mumbai, Maharashtra",Working Professional,February,2020,Q1
Very good,55 and above,F," Vijalpor, Gujarat",Homemaker,October,2024,Q4
Good,35-44,M," Raigad, Maharashtra",Working Professional,March,2021,Q1
