Reviews for Amazfit,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Update after 4 months - very happy with the GTR4. Amazing battery life - easily 8-9 days even with Always On Display turned on. With AOD off, 14-15 days. I need to charge it only on weekends.
All necessary features are present. What more you need?
====
Great battery, mostly all features one would need in a smartwatch.
Zepp app is a bit complicated, but usable, once you get used to it.",25-34,M," Gurgaon, Haryana",Working Professional,July,2023,Q3
Simply amazing product a must buy,25-34,M," Vasai Virar, Maharashtra",Working Professional,June,2023,Q2
"Good device for sure! Everything is good except for none application of screen guard on the display. Two months of purchase but got a few scratches on the display (it's a huge disappointment). Amazfit would have included a pre-applied screen guard on the display at this price point. Otherwise battery, display and all other features are mind blowing. Go for it if you are OK with it",55 and above,M," Nagrota, Jammu and Kashmir",Retired,July,2022,Q3
NICE PRODUCT I LIKE,18-24,M," Ujhari, Uttar Pradesh",Freelancer,May,2020,Q2
Great product in the price. Gives Premium look,18-24,M," Rahuri, Maharashtra",Freelancer,July,2023,Q3
Best watch to have. Worth for the price we pay. Screen protector is missing. Hope we will get in future models.,45-54,M," Hyderabad, Telangana",Freelancer,February,2022,Q1
"Everything good except lens quality. Display is good but quality of screen lens is very poor, easily get scratched. No screen protector with watch. In few days of use numerous scratches can find in screen.

Screen lens quality is very very poor. Wastage of money. Very much disappointed about screen. All other features are excellent.",45-54,M," Ernakulam, Kerala",Working Professional,November,2020,Q4
Paint starting going from strap and round dial.. Paid 15k plus. It is not worth,18-24,M," Bengaluru, Karnataka",Working Professional,August,2024,Q3
I am writing this review after using it for a month. Watch is not worth for money. It's not tracking properly. No sensor is good.,45-54,F," Bengaluru, Karnataka",Homemaker,August,2021,Q3
Super smartwatch😘,35-44,M," Hapur, Uttar Pradesh",Working Professional,October,2022,Q4
"I purchased this watch for seamless integration but with my iphone unfortunately, my experience has been plagued by issues, leaving me disappointed and frustrated.",25-34,F," Mumbai, Maharashtra",Homemaker,November,2022,Q4
battery problem,25-34,M," Jodhpur, Rajasthan",Working Professional,July,2020,Q3
Excellent,18-24,F," Chengalpattu, Tamil Nadu ",Working Professional,June,2021,Q2
Watch is good with accuracy and features but got a scratch in 2 days during regular workout. So you will need tempered glass to protect the screen.,45-54,F,"  Pune, Maharashtra ",Homemaker,September,2021,Q3
Really good..,55 and above,M," Mumbai, Maharashtra",Retired,October,2023,Q4
Remote control camera is not working. After doing all settings it clicked the photo only one time after that it is not working.,25-34,F," Pimpri Chinchwad, Maharashtra",Homemaker,September,2022,Q3
Lots of features go for it.,25-34,M," Howrah, West Bengal",Freelancer,May,2024,Q2
Very nice,Under 18,M," Navi Mumbai, Maharashtra",Student,February,2024,Q1
Nice and beautiful product.. price is much higher but accuracy and battery backup is so much better than smart watches which are available out there.. go for it..,55 and above,F," Punganur, Andhra Pradesh",Homemaker,April,2021,Q2
liked it much to my requirements....highly recommended,25-34,M," Allahabad, Uttar Pradesh",Working Professional,September,2020,Q3
"The product I bought was definitely not worth the money I spent on it. It felt overpriced for what it offered, and I was disappointed with its quality and performance. I believe there are better alternatives available at a similar or even lower price point that would have provided better value for my hard-earned money. I wouldn't recommend this product to others, as there are more cost-effective options on the market",18-24,M," Jaipur, Rajasthan",Freelancer,October,2024,Q4
"I like 'Amazfit Watch' very much, it looks very nice, the price is high but good product",Under 18,M," Jamui, Bihar ",Student,January,2023,Q1
Good,Under 18,M," Radhanpur, Gujarat",Student,March,2021,Q1
Very poor heart rate and distance monitoring during running and cycling.,35-44,F," Panipat, Haryana",Homemaker,October,2022,Q4
Very nice Product,35-44,M," Aralvaimozhi, Tamil Nadu",Working Professional,February,2023,Q1
Mind-blowing product. Activity tracking very good nice display and other features. Battery backup also too good. Best in class.,Under 18,F," Kottuvally, Kerala",Student,August,2023,Q3
Too small for GTR 4,18-24,M," Bhopal, Madhya Pradesh",Working Professional,February,2023,Q1
Super...,45-54,F," Koothattukulam, Kerala",Homemaker,March,2023,Q1
Good,35-44,M," Thiruvananthapuram, Kerala",Working Professional,January,2022,Q1
Excellent,55 and above,M," Vadodara, Gujarat",Retired,March,2020,Q1
Good one and I loved it,55 and above,F," Maradu, Kerala",Homemaker,August,2021,Q3
Good one!!,Under 18,M," Angamaly, Kerala",Student,January,2020,Q1
Results are not accurate and frequently gives false alarm. Hence reading and activity tracking are not reliable. but build quality is excellent . software requires lot of enhancement.,18-24,M," Bengaluru, Karnataka",Freelancer,February,2020,Q1
Nice ...happy,18-24,M," Purba Bardhaman, West Bengal ",Freelancer,February,2020,Q1
"Amazing product,go for it guys,it's totaly value for money",18-24,F," Rajouri, Jammu and Kashmir",Working Professional,July,2020,Q3
Surprisingly shock by the performance. Better then another smart watches brand. Must go for this,25-34,F," Vadodara, Gujarat",Homemaker,November,2021,Q4
Nice,55 and above,M," Alwar, Rajasthan",Retired,October,2024,Q4
Good product loved it,45-54,M," Bengaluru, Karnataka",Freelancer,January,2020,Q1
"Everything is good about this smartwatch, only drawback is its battery life. I don't know why company lies about battery backup. If you do 1-1.5 hours exercise with music streaming from watch, it will give maximum 4 days backup. I hardly use phone for calling. If you don't stream music from watch, it will give one week battery backup, not 12 days as claimed by the company.",45-54,F," Darjiling District, West Bengal",Homemaker,April,2020,Q2
Good watch. Previously i was using gtr2 so i am used to amazfit. I saw few enhancements over gtr2 and the watch is good to buy. Awesome battery life. Great support for Apple health and Google fit only downside is its strap. Strap feels garbage. I wear the watch 24x7 and strap is highly uncomfortable also extra effort is required in watch faces,25-34,M," Ghaziabad, Uttar Pradesh",Freelancer,November,2021,Q4
Very nice watch I like it designe is very beautiful I love this thanks Amazfit,Under 18,M," Jewar, Uttar Pradesh",Student,November,2024,Q4
Best smart watch,Under 18,M," Chennai, Tamil Nadu",Student,November,2021,Q4
Love it,Under 18,M," Hyderabad, Telangana",Student,February,2020,Q1
Wow,25-34,M," Bengaluru, Karnataka",Freelancer,June,2020,Q2
"Looks very nice and beautiful watch..
Battery and design also awesome",45-54,M," Moradabad, Maharashtra",Working Professional,May,2021,Q2
Wonderful watch,55 and above,M," Kheri, Uttar Pradesh ",Retired,May,2020,Q2
Fine product👌,55 and above,F," Kannur District, Kerala",Homemaker,January,2022,Q1
Bad speaker quality. Even replaced product also has low speaker quality.,18-24,M," Chennai, Tamil Nadu",Working Professional,December,2021,Q4
"Good product, good quality. No starches till date",Under 18,M," Chennai, Tamil Nadu",Student,September,2024,Q3
Superb battery backup,Under 18,M," Malda, Madhya Pradesh",Student,July,2021,Q3
"Bad experience with calling feature.
I have used lower end watches as well, but calling feature experience is not great.
Doesn't connect to alexa as well.",Under 18,F," Doiwala, Uttarakhand",Student,March,2023,Q1
It got delivered today only I will put a review once I use it for 2 weeks,45-54,M," Kollam, Kerala",Freelancer,May,2024,Q2
In this price range it's a very good smart watch indeed. Amazing battery life with apps and facilities for daily workout. Watch faces are marvelous. Highly recommend.,35-44,M," Bidar, Karnataka",Freelancer,November,2022,Q4
Watch steel quality is not good. scratches very quickly,55 and above,M," Rajouri, Jammu and Kashmir ",Retired,April,2020,Q2
"Best In Class.

Reviewing this after an month usage.

If you're on a budget of 15-20k for a smart watch . Just go for it.",55 and above,M," Oragadam Industrial Area, Tamil Nadu",Retired,May,2020,Q2
V nice beautiful features and functions is very good,Under 18,M," Suratgarh, Rajasthan",Student,November,2021,Q4
One of the best smart watch. Top notch quality product.,45-54,M," Hoshiarpur, Punjab",Freelancer,August,2020,Q3
"When I bought it my first impression was good, the battery Life and step tracking is good..look wise is simple and awesome ..I wish they have What's app reply and GPS navigation ..the rest I like it very much.....

Thank you Flipkart for delivering me in time...",55 and above,M," Dimapur, Nagaland",Retired,February,2022,Q1
I liked the product. Straps should be of leather. That is the only thing I wanted additional with the watch. Has a good battery life. Good display.,35-44,M," Jammu, Jammu and Kashmir",Working Professional,November,2024,Q4
Style and Performance watch.,35-44,F," Hyderabad, Telangana",Homemaker,September,2023,Q3
Loving the classic watch design... most value for money smart watch in the market right now with great battery life...,55 and above,M," Ziro, Arunachal Pradesh",Retired,August,2022,Q3
