Reviews for Fireboltt,Age,Gender,Location,        Occupation,Month,Year,Quarter
Nice watch',Under 18,F," Karimnagar, Telangana ",Student,April,2023,Q2
Very bad experience not valve for money watch after some days it's not functioning well,55 and above,M," Sonipat, Haryana",Retired,December,2024,Q4
OK,55 and above,F," Hyderabad, Telangana",Homemaker,August,2024,Q3
"Very bed qualiyty 2 month delivery
Not charge
15 days not resolve problem only mail
Not problem solve",18-24,M," Ashoknagar, Madhya Pradesh",Working Professional,December,2022,Q4
display problem issu. West of money,35-44,M," Charkhari, Uttar Pradesh",Working Professional,September,2020,Q3
Not working,Under 18,M," Davanagere, Karnataka",Student,January,2021,Q1
Bad product after 7 one switch can't work,Under 18,M," Ahmedabad, Gujarat",Student,April,2020,Q2
The battery doesn't last more than 2days not good product n there is no return,55 and above,M," Navi Mumbai, Maharashtra",Retired,March,2021,Q1
Very good,35-44,M," New Raipur, Chhattisgarh",Freelancer,December,2021,Q4
Value for money.,18-24,M," Jalpaiguri, West Bengal",Freelancer,August,2020,Q3
Good,18-24,M," Jamshedpur, Jharkhand",Freelancer,August,2024,Q3
Valuable product. worth for money.,45-54,M," Chennai, Tamil Nadu",Working Professional,June,2022,Q2
Worst watch,18-24,M," Hyderabad, Telangana",Working Professional,December,2023,Q4
Excellent smart watch,25-34,F," Kulgam District, Jammu and Kashmir",Homemaker,September,2024,Q3
It's very good look and value for money,35-44,F," Pimpri Chinchwad, Maharashtra",Homemaker,January,2023,Q1
Good,18-24,M," Daman, Daman and Diu",Freelancer,October,2024,Q4
the line changer of the product was poor quality,55 and above,M," Kolkata, West Bengal",Retired,April,2023,Q2
Love it,35-44,M," Mohali, Punjab",Working Professional,March,2022,Q1
Good product,Under 18,M," Unnao, Uttar Pradesh",Student,November,2024,Q4
Good,55 and above,F," Bengaluru, Karnataka",Homemaker,December,2023,Q4
Nice,Under 18,M," Jaipur, Rajasthan",Student,July,2020,Q3
Good,35-44,M," Kalyani, West Bengal",Working Professional,April,2022,Q2
"Battery life is good, product look awesome,but after 3month product not working .",55 and above,F," Tiruchirappalli, Tamil Nadu",Homemaker,September,2024,Q3
Product is excellent,35-44,F," Cuttack, Odisha",Homemaker,March,2024,Q1
Not worthy....priceless,Under 18,M," Mumbai, Maharashtra",Student,February,2024,Q1
Not working,45-54,M," Bengaluru, Karnataka",Working Professional,March,2024,Q1
Worth Product,45-54,M," Erode, Tamil Nadu",Freelancer,October,2020,Q4
"It was my worst purchase. It didn't even work for a month. The watch got dead within 18 days of purchase
Waste of money and loss of mind piece
Worst ever customer support",Under 18,M,"  Pune, Maharashtra",Student,July,2021,Q3
Good product,55 and above,M," Hyderabad, Telangana",Retired,September,2022,Q3
Average product good look,Under 18,M," Indore, Madhya Pradesh",Student,May,2020,Q2
Beautiful watch go for it without any doubt,55 and above,F," Gurugram, Haryana",Homemaker,May,2022,Q2
Great watc,18-24,M," Supaul, Bihar",Working Professional,March,2021,Q1
Great Smart watch,35-44,F," Idukki, Kerala ",Homemaker,July,2021,Q3
Good product,45-54,F," Thane, Maharashtra",Homemaker,January,2023,Q1
Excellent smart watch,45-54,M," Udupi, Karnataka ",Freelancer,March,2024,Q1
"Good Product, Thank You Flifkart",18-24,M," Kanchikacherla, Andhra Pradesh",Freelancer,June,2024,Q2
The watch is not charging and the watch is currently off.,55 and above,F," Arrah, Bihar",Homemaker,January,2021,Q1
Nice watch in the price,55 and above,M," Kota, Rajasthan ",Retired,March,2023,Q1
Believe me it's a very good product,Under 18,F," Barasat, West Bengal",Student,December,2024,Q4
Very good product nice 👌,25-34,M," Mysuru, Karnataka",Working Professional,November,2023,Q4
"After 5 months the display is not working, Belt colour also shaded.",25-34,F," Hyderabad, Telangana",Homemaker,July,2024,Q3
Nice product,Under 18,M," Hindaun, Rajasthan ",Student,October,2024,Q4
"It's very smooth screen, and features are good
I'm enjoying with this product.",18-24,F," Parasi, Uttar Pradesh",Working Professional,September,2021,Q3
Nice watch,55 and above,F," Nagapattinam, Tamil Nadu ",Homemaker,May,2023,Q2
Best product,18-24,M," Raisen, Madhya Pradesh",Working Professional,June,2024,Q2
Good great watch,45-54,F," Kottayam, Kerala ",Homemaker,December,2020,Q4
Everything is good,18-24,F," Itanagar, Assam",Working Professional,June,2024,Q2
Design is awesome and touch is also smooth black colour is good,Under 18,M," Mumbai, Maharashtra",Student,March,2024,Q1
Bakbas watch,18-24,M," Mathura, Uttar Pradesh",Working Professional,February,2022,Q1
"Battery is ok..activity tracking is not good.
The only thing plus is its retro looks.",18-24,M," Chandausi, Uttar Pradesh",Working Professional,October,2021,Q4
Good,18-24,F," Mumbai, Maharashtra",Working Professional,December,2021,Q4
NICE PRODUCT,55 and above,M," Vaniyanbadi, Tamil Nadu",Retired,June,2020,Q2
Good 👍,35-44,M," Latur, Maharashtra",Working Professional,July,2021,Q3
Very nice product.,45-54,M," Kolkata, West Bengal",Working Professional,May,2023,Q2
"Good, but after some month charging is not working..",18-24,M," Diu, Daman and Diu ",Freelancer,December,2023,Q4
Products is very nice and good looking. More over I don't like the charging facility. It disconnect easily because it is megnatic,45-54,M," Khandwa, Madhya Pradesh",Freelancer,February,2020,Q1
"All good about the product, except for chain strap quality. Hence 4 stars.",35-44,M," Mumbai, Maharashtra",Working Professional,March,2021,Q1
Very worst product.. belt Color was gone don't buy..loss of ur money worst worst product,55 and above,F," Paravada Industrial Area, Andhra Pradesh",Homemaker,May,2024,Q2
Wonderful product,25-34,M," Malappuram, Kerala ",Working Professional,May,2020,Q2
Best retro watch,25-34,M," Jorhat, Assam",Freelancer,June,2021,Q2
Not Working prod,25-34,M," Aligarh, Uttar Pradesh",Freelancer,December,2024,Q4
Premium quality watch thanks Flipkart 👑🥰,45-54,M," Mainpuri, Uttar Pradesh",Working Professional,April,2023,Q2
Good good,25-34,M," Thiruvallur, Tamil Nadu ",Freelancer,May,2022,Q2
Looking good,55 and above,F," Buxar, Bihar",Homemaker,January,2020,Q1
I like the product design edition finish and the feature,25-34,M," Kolhapur, Maharashtra",Working Professional,June,2023,Q2
Feeling awesome,35-44,M," Patna, Bihar",Working Professional,December,2020,Q4
Okay,55 and above,F," Farakka Barrage Township, West Bengal",Homemaker,January,2021,Q1
Exlent product I am so happy to have it,25-34,F," Rayagada, Odisha",Homemaker,May,2022,Q2
Very less watch faces,Under 18,M," Mumbai, Maharashtra",Student,September,2024,Q3
Good display in this version. Classy and fits good to your hand. Best product at this price segment.,45-54,M," Bengaluru, Karnataka",Working Professional,July,2022,Q3
"Premium look specially Brown leather one, at Budget price good to go..",55 and above,M," Mira, Maharashtra",Retired,June,2024,Q2
Terrific purchase 😃. Everything about this watch is awesome 😎😎 just go for it,Under 18,M," Hyderabad, Telangana",Student,January,2020,Q1
"Awesome smartwatch with additional experience features.
Value of money",25-34,F," Patna, Bihar",Homemaker,April,2022,Q2
"Excellent product.........
must buy.........
super display.......",Under 18,M," Kolkata, West Bengal",Student,August,2023,Q3
Touch sensors are not working properly,55 and above,F," Dharwad, Karnataka",Homemaker,August,2020,Q3
Waste product and waste customer service.the belt was not good and not comfortable to wear so I want to return the product but they said that the seller does not have an return option.waste of my money.,55 and above,F," Udupi, Karnataka ",Homemaker,August,2024,Q3
"Nice product
I like the design",35-44,M," Chittoor, Andhra Pradesh ",Freelancer,June,2023,Q2
"Good 👍 display good
Battery capacity is good
Smooth and easy to use
Value of money 💰
Quality good",25-34,M," Kota, Rajasthan",Working Professional,August,2024,Q3
Smartwatch is awesome and with the exchange of any dead watch it's too awesome in price also. The Amoled Screen is good with a very slight curve and the leather belt feels like an old school watch.,18-24,M," Thane, Maharashtra",Working Professional,August,2023,Q3
"Amazing Smart Watch with Curve Display like BeatXP Unbound Curv and Noise Hexa.
After updating the firmware it was working smoothly and the best UI experience.
Display and Design is A1 quality.
Display - 5/5 || Perfomance - 5/5 || UI - 5/5 || Battery -4/5 || Strap quality - 4/5 ||
Easily you can sleep with this watch: perfect HR, Spo2, and Step Counts. If Fireboltt can work on Mobile App UI, it's worth it fully.
No Battery indicator watch faces found with percentage. Please make some watch...
READ MORE",18-24,M," Ahmedabad, Gujarat",Freelancer,June,2021,Q2
Nice watch with cool feature,Under 18,M," Berhampore, West Bengal",Student,March,2024,Q1
"Good smart watch but its battery health is not so good as it only lasts for 5 to 6 days on charge and 1.5 to 2 days when connected and its features are very good, for battery life so I give it 4 stars.",18-24,M," Kandi, West Bengal",Working Professional,August,2020,Q3
So far very great value for money. Loved the look n premium feel.,45-54,M," Bengaluru, Karnataka ",Freelancer,July,2021,Q3
"Sound quality is bad
Strap quality is poor
Senser is perfectly not working",45-54,M," Tribeni, West Bengal",Working Professional,June,2022,Q2
Good Product in our budget,35-44,M," Hyderabad, Telangana",Working Professional,December,2022,Q4
Classy product.. design also good with good build quality..it is my initial review..Tq,35-44,M," Sri Potti Sriramulu Nellore, Andhra Pradesh ",Freelancer,March,2021,Q1
Excellent and well built quality.,25-34,M," Vazhakulam, Kerala",Working Professional,October,2020,Q4
Nice watch,Under 18,M," Mumbai, Maharashtra",Student,August,2020,Q3
"Nice to use ,wonderful collection,will update later full review ,thanks to flipkart",55 and above,M," Nandivaram Guduvancheri, Tamil Nadu",Retired,February,2021,Q1
Very Nice watch And Comfortable,25-34,M," Jamshedpur, Jharkhand",Freelancer,April,2023,Q2
Premium design with excellent Amoled display and AOD is very nice..Best in the market for the amount you paid.,Under 18,M," Kurnool, Andhra Pradesh",Student,September,2021,Q3
"* Pros:
* Attractive curved AMOLED display
* Budget-friendly with essential features like Bluetooth calling, health monitoring, and multiple sports modes
* Wireless charging
* Battery backup is
If you're looking👀 for a stylish and affordable smartwatch with the core functionalities, the Fire-Boltt Horizon is a good option to consider.
Thank you Flipkart👍🥰",45-54,M," Sitamarhi, Bihar",Freelancer,February,2023,Q1
A nice product watch display was premium and it was a value for money I will rate for over all 4/5,45-54,M," Hyderabad, Telangana",Freelancer,May,2021,Q2
Battery draining so fast. Battery backup not good. Raise to wakeup not working.,45-54,M," Indore, Madhya Pradesh",Freelancer,June,2021,Q2
Excellent,25-34,M," Thanjavur, Tamil Nadu",Freelancer,June,2021,Q2
The product is okay and has a good design.,Under 18,M," Bicholim, Goa",Student,February,2021,Q1
Screen touch not working after buying 55 days,18-24,F," Kovilpatti, Tamil Nadu",Working Professional,June,2021,Q2
Lovely strap good display overall amezing smart watch.,25-34,M," Hyderabad, Telangana",Freelancer,April,2022,Q2
Amazing watch. l liked it😍,18-24,M," Ernakulam, Kerala",Freelancer,September,2024,Q3
Good - worth it against the price,45-54,M," Gandhinagar, Gujarat",Working Professional,November,2022,Q4
It is a good watch value for money,25-34,M," Nanded Waghala, Maharashtra",Working Professional,July,2022,Q3
No display not working,45-54,M," Kakinada, Andhra Pradesh",Working Professional,January,2020,Q1
"Sumart watch not working
Touch not working
Speaker not working
Said button not working",55 and above,M," Hosur, Tamil Nadu",Retired,May,2021,Q2
Good One,45-54,M," Kosli, Haryana",Freelancer,September,2023,Q3
Very good product,35-44,M," Bankura, West Bengal",Working Professional,April,2021,Q2
Very nice,Under 18,F," Nayagarh District, Odiisha",Student,August,2020,Q3
Loved it,35-44,F," Kolkata, West Bengal",Homemaker,February,2021,Q1
It's good,55 and above,F," Dharwar, Uttar Pradesh",Homemaker,July,2024,Q3
Love IT 💕,45-54,M," Ghazipur, Uttar Pradesh ",Working Professional,April,2023,Q2
"Great product... and very good customer service.. I received a product in which display was not working... but it was replaced with working model and after a month of use, I can say that watch is fantastic!!",25-34,M," Hamirpur, Himachal Pradesh",Freelancer,August,2022,Q3
Thank u very nice pr,18-24,F," Thane, Maharashtra ",Working Professional,October,2024,Q4
Worst quality don't buy fire- bolt watches very bad quality strap and features,35-44,M," East Godavari, Andhra Pradesh ",Working Professional,May,2023,Q2
Exllent product,Under 18,M," Ghaziabad, Uttar Pradesh",Student,March,2024,Q1
It had better if it comes with SIM TRAY. Overall It is good.,35-44,F," Sarai Mir, Uttar Pradesh",Homemaker,September,2021,Q3
Facing many serious issue,45-54,F," Lucknow, Uttar Pradesh",Homemaker,April,2020,Q2
Good quality of smart watch,45-54,F,"  Pune, Maharashtra",Homemaker,July,2021,Q3
Quality super super,25-34,M," Burdwan, West Bengal ",Working Professional,September,2023,Q3
Very bad. display line issue.,Under 18,M," Dakshina Kannad, Maharashtraa ",Student,August,2024,Q3
Overall product is good,25-34,F," Birbhum District, West Bengal",Homemaker,March,2020,Q1
"Very Very Worst Product
My money only wasted now",18-24,M," Coimbatore, Tamil Nadu",Freelancer,June,2024,Q2
Best,45-54,M," Ghaziabad, Uttar Pradesh",Freelancer,July,2022,Q3
Good design,Under 18,M," Alappuzha, Kerala",Student,May,2023,Q2
Good product,35-44,F," Jamui, Bihar",Homemaker,January,2023,Q1
GOOD PRODUCT 🥳,45-54,F," Pallichal, Kerala",Homemaker,July,2023,Q3
Fire bolt not successful,18-24,M," Mumbai, Maharashtra",Working Professional,October,2021,Q4
Good product with this price,35-44,M," Ahmedabad, Gujarat",Working Professional,May,2021,Q2
Good 👍👍,45-54,M," Ranjangaon Midc, Maharashtra",Freelancer,April,2023,Q2
Don't buy this product after 3 weeks of use display completely gone.,45-54,M," Bengaluru, Karnataka",Freelancer,October,2023,Q4
Watch is good but service is very bad,Under 18,M," Hyderabad, Telangana",Student,September,2024,Q3
The watch is very good. It feels good when worn in the hand,18-24,M," Shahdol, Madhya Pradesh",Freelancer,September,2024,Q3
It's a good product,Under 18,F," Mumbai, Maharashtra",Student,October,2022,Q4
Awesome Design and features,25-34,M," Ramagundam, Telangana",Working Professional,December,2023,Q4
My son likes this one he was very happy it's looks very beautiful,25-34,M," Muzaffarpur, Bihar",Freelancer,April,2023,Q2
The belt will highly disappoint you. Don't go for it they also don't have any returning policy over this product. I was lucky to have an old boat watch which strap fits to this watch. So now I am wearing it,35-44,M," Tinsukia, Assam",Freelancer,December,2022,Q4
Nice,35-44,M," Kalyan, Maharashtra",Freelancer,March,2024,Q1
Excellent Product,25-34,M," Mangaluru, Karnataka",Freelancer,October,2020,Q4
The product super amazing 😍😍,55 and above,F," Sulur, Tamil Nadu",Homemaker,June,2023,Q2
The display of the watch broke due to a slight impact and the display is not working and noise is coming from it.,18-24,M," Patna, Bihar",Working Professional,December,2021,Q4
Good watch,Under 18,M," Agartala, Tripura",Student,March,2023,Q1
Best smart watch,Under 18,F," Kalyan, Maharashtra",Student,January,2020,Q1
Smartwatch on off too much issue and charging issue very bad flipkart product,35-44,F," Jodhpur, Rajasthan",Homemaker,July,2020,Q3
Very good,55 and above,M," New Delhi, Delhi",Retired,May,2021,Q2
DONT BUY THIS PRODUCT WOST........................................,55 and above,M," Madurai, Tamil Nadu",Retired,March,2021,Q1
Nice product,55 and above,M," South Goa District, Goa",Retired,January,2024,Q1
Worst phone,45-54,M," Nizamabad, Telangana",Working Professional,December,2023,Q4
"Well satisfied, awesome product",55 and above,M," Indore, Madhya Pradesh",Retired,November,2024,Q4
Nice product and good looking.,55 and above,M," Sonebhadra, Uttar Pradesh",Retired,February,2020,Q1
Good smart watch,55 and above,F," Tiruvannamalai District, Tamil Nadu",Homemaker,March,2021,Q1
"Good product
Value for money",Under 18,F," Vuyyuru, Andhra Pradesh",Student,January,2024,Q1
Please don't buy this product it's not worth for money,25-34,M," Nilaiyur, Tamil Nadu",Working Professional,April,2023,Q2
Nice watch,55 and above,F," Rajkot, Gujarat",Homemaker,October,2024,Q4
Very nice 🙂,Under 18,M," Tiruppur, Tamil Nadu ",Student,February,2022,Q1
I like this product,35-44,M," Hazaribagh, Jharkhand",Working Professional,November,2023,Q4
Nice product in under budget,25-34,M," Cuttack, Odisha ",Freelancer,December,2023,Q4
"Don't buy any product from fireboltt, once you buy it and a problem occurs, you will have to die to get it resolved. Worst consumer experience with fire Boltt's consumer grievance redressal mechanism.",25-34,M," New Delhi, Delhi",Freelancer,May,2021,Q2
I hate this product,25-34,F," Jaunpur, Uttar Pradesh",Homemaker,March,2020,Q1
Nice pr,55 and above,M," Aligarh, Uttar Pradesh",Working Professional,December,2023,Q4
Good,Under 18,M," Mumbai, Maharashtra",Student,August,2024,Q3
Nice watch,25-34,F," Madurai, Tamil Nadu",Homemaker,August,2024,Q3
Good,Under 18,M," Gaya, Bihar",Student,February,2022,Q1
Good product,Under 18,M," Bengaluru, Karnataka",Student,January,2024,Q1
Nice 👍🙂🙂,35-44,F," Jalandhar, Punjab",Homemaker,March,2024,Q1
Good watch,18-24,M," Nadia, West Bengal ",Freelancer,November,2023,Q4
Battery backup very poor,Under 18,M," Mumbai, Maharashtra",Student,October,2024,Q4
No worth for your money,18-24,M," Pondicherry, Puducherry",Freelancer,January,2021,Q1
Very good product,18-24,F," Purba Medinipur, West Bengal ",Working Professional,February,2020,Q1
Not satisfied with money,25-34,F," Madhurawada, Andhra Pradesh",Homemaker,April,2023,Q2
"Great battery life , can wear for the entire day, but mostly we don't use all the features ",18-24,F,"Mumbai, Maharashtra ",Student,December,2021,Q4
I think theyre great for people with health problems and also immediate health requirements,18-24,F,"Bangalore, Karnataka",Student,March,2020,Q1
Very useful in day to day life,18-24,M,"Thane, Maharashtra ",Student,May,2022,Q2
Provides all the necessary health related information ,18-24,M,"Thane, Maharashtra ",Student,April,2022,Q2
It's fine ,18-24,M,"Mumbai, Maharashtra ",Student,December,2021,Q4
Vallue for money,25-34,F," Jalpaiguri, West Bengal",Homemaker,April,2020,Q2
"Good Product
Use full",55 and above,M," Panipat, Haryana",Retired,June,2022,Q2
Good product,25-34,M," Nagpur, Maharashtra",Working Professional,October,2020,Q4
very good product,Under 18,F," Jaleswar, Odisha",Student,February,2023,Q1
Very bad batter,25-34,F," Jhansi, Uttar Pradesh",Homemaker,September,2020,Q3
The product looks so durable and great. Loved the green color which I ordered.,45-54,M," Pardi, Gujarat",Student,December,2021,Q4
Network not spotted not good,Under 18,F," New Delhi, Delhi",Student,December,2022,Q4
Display numbers not working,Under 18,M," Rourkela, Odisha",Student,July,2023,Q3
Not working from the first day. Bad experience,18-24,M," Lucknow, Uttar Pradesh",Freelancer,May,2020,Q2
Fire bolt smart watch not charging due to battery issue,18-24,F," Shujalpur, Madhya Pradesh",Working Professional,June,2022,Q2
Very nice,Under 18,F," Shahjahanpur, Uttar Pradesh",Student,July,2024,Q3
It is not working and it is a frood in necessary watch,55 and above,F," Anugul, Odisha ",Homemaker,April,2022,Q2
So good,25-34,M," Coimbatore, Tamil Nadu",Freelancer,October,2021,Q4
This watch is not supported in phone call without same and not working in same my experience is every low me request to Flipkart replace my order to after buying 1 days she is not expecting,55 and above,M," Mumbai, Maharashtra",Retired,November,2022,Q4
The other person on calls is bearly able to hear my voice despite keeping full volume. Takes very long time to be fully charged.,55 and above,F," Pimpri Chinchwad, Maharashtra",Homemaker,October,2024,Q4
Very worst,35-44,M," Dharmapuri, Telangana",Working Professional,September,2022,Q3
Don't buy this product. Battery issue.,35-44,F," Pimpri Chinchwad, Maharashtra",Homemaker,September,2024,Q3
"The problem is:-
1. The caller is not able to hear our voice.
2. The caller hears his own voice double.
3. When we call someone, he is not able to hear our voice.
4. The same problem occurs even after repeated calls.
5. All the SIM cards we have used, Airtel, Jio, Vodafone, all have the same problem.

I had sent it to the company for repair twice, but there is no solution.",Under 18,M," Shahbad, Haryana",Student,August,2020,Q3
I like,45-54,M," Sonitpur District, Assam",Freelancer,May,2020,Q2
Very bad product not working properly,35-44,M," Nawada, Bihar ",Freelancer,December,2023,Q4
No buy not working properly 👎,25-34,M," Bengaluru, Karnataka",Working Professional,November,2022,Q4
Value for money it is good product,18-24,M," Hirmi, Chhattisgarh",Working Professional,May,2021,Q2
Waste product ever,18-24,M," Rohtas District, Bihar",Freelancer,September,2024,Q3
Useful for hostlers,35-44,F," Siddipet, Telangana ",Homemaker,July,2020,Q3
Battery backup not good,Under 18,M," Dahej Sir, Gujarat",Student,April,2021,Q2
Excellent,18-24,F," Jaipur, Rajasthan",Retired,March,2020,Q1
This is worst watch,55 and above,F," Murwara Katni, Madhya Pradesh",Homemaker,January,2022,Q1
Hanging problem,25-34,F," Sidhi, Madhya Pradesh ",Homemaker,November,2023,Q4
Good item,55 and above,F," Ponda, Goa",Homemaker,May,2023,Q2
Battery very poor and I suggest you not buy this product,45-54,F," Thane, Maharashtra ",Homemaker,March,2022,Q1
Very bad product 😭😭,35-44,M," Pathardi, Maharashtra",Freelancer,February,2020,Q1
"Quite weighted
Over all value for money",55 and above,M," Washim, Maharashtra",Retired,October,2021,Q4
Flipkart is not support customer complane.this smart watch is not good quality,25-34,M," Ahmedabad, Gujarat",Freelancer,July,2023,Q3
Very bad product,35-44,M," Howrah, West Bengal",Working Professional,July,2022,Q3
Good 👍,Under 18,M," New Delhi, Delhi",Student,July,2022,Q3
Not bad,18-24,F," Asansol, West Bengal",Working Professional,March,2022,Q1
"Connectivity issue, looks great, I have to check features after pairing with my mobile",35-44,F," Madhurawada, Andhra Pradesh",Homemaker,March,2020,Q1
Best product,18-24,F," Hazaribagh, Jharkhand",Working Professional,July,2023,Q3
Good,45-54,M," Vasai Virar, Maharashtra",Working Professional,November,2022,Q4
Bad,55 and above,M," Muzaffarpur, Bihar ",Retired,September,2023,Q3
Vari vari bad smart watch,25-34,M," Borivali West Mumbai, Maharashtra",Freelancer,October,2020,Q4
It's smart watch value for money it is useful product fire boltt 4 g pro,55 and above,M," Bhabua, Bihar",Retired,February,2024,Q1
Good 👍😊,45-54,M," Baksa District, Assam",Working Professional,February,2024,Q1
Very nice product,Under 18,F," Siliguri, West Bengal",Student,June,2020,Q2
Everything is good but dial and display settings is not appropriate 😕😕,25-34,M," Beawar, Rajasthan",Freelancer,August,2024,Q3
Good smartwatch for middleclass family,55 and above,F," Pathankot, Punjab",Homemaker,April,2022,Q2
Good one . Can be used if you requirments aligns with the features of the product.,25-34,F," Chennai, Tamil Nadu",Homemaker,February,2021,Q1
Defective product,25-34,M," Jaya Shankar Bhalupally District, Telangana",Working Professional,March,2024,Q1
Sim connection turns off occasionally. No Bluetooth . Trackings are fake and does not work properly. Don't have sufficient features. Overall not good.,55 and above,M," Mysore, Karnataka ",Retired,June,2020,Q2
This is good product,25-34,M," Maunath Bhanjan, Uttar Pradesh",Working Professional,August,2022,Q3
Very good,25-34,F," Thrissur, Kerala",Homemaker,August,2024,Q3
To watch purchasing one watches super second watch second watch is not working customer support no money is lose,55 and above,F," Narasaraopet, Andhra Pradesh",Homemaker,October,2022,Q4
Bad bad quality calling no app support no customer support no,55 and above,F," Narasaraopet, Andhra Pradesh",Homemaker,June,2023,Q2
Battery 🔋 Backup not working 👎,35-44,M," Hyderabad, Telangana",Freelancer,July,2023,Q3
Best,18-24,F," Sahjanwa, Uttar Pradesh",Working Professional,January,2022,Q1
Bad quality watch for me not purchase,35-44,M," Hyderabad, Telangana",Freelancer,January,2020,Q1
It's great,35-44,F," Bengaluru, Karnataka",Homemaker,June,2021,Q2
Awesome,25-34,F," Bhojpur District, Bihar",Freelancer,October,2024,Q4
The product is so use full for us,55 and above,F," Ongole, Andhra Pradesh",Homemaker,November,2024,Q4
This watch battery 🔋 is only 12 hours working by full charging,25-34,M," Bhandara, Maharashtra",Freelancer,November,2024,Q4
"This smartwatch is a great innovation, ideal for daily use and especially suitable for children whose parents prefer not to give them a mobile phone. However, the dial size could be reduced a bit for a better fit.",25-34,M," Patna, Bihar",Working Professional,March,2022,Q1
Sound system is not working,25-34,M," Cuttack, Odisha",Freelancer,April,2024,Q2
Battery 🔋 backup not good,55 and above,M," Vapi, Gujarat",Retired,June,2020,Q2
Battery is draining very fast,55 and above,F," Naihati, West Bengal",Homemaker,November,2021,Q4
Nice 👍 product,35-44,M," Kamrup, Assam",Working Professional,October,2023,Q4
Very nice but it can more useful if it have wi-fi and blue tooth calling.,35-44,M," New Delhi, Delhi",Working Professional,January,2021,Q1
Verry verry poor aitem,18-24,M," Sikar, Rajasthan",Student,October,2023,Q4
Nice product,55 and above,M," Ludhiana, Punjab",Retired,February,2023,Q1
Super,18-24,M," Tirupati,Andhra Pradesh",Freelancer,February,2024,Q1
Good product,25-34,M," Lakhisarai District, Bihar",Working Professional,March,2024,Q1
Good,25-34,F," Rangia, Madhya Pradesh",Homemaker,November,2020,Q4
Charging lapse very soon,18-24,F," Varanasi, Uttar Pradesh ",Working Professional,January,2021,Q1
Very good product 💯,35-44,M," Kaithal, Haryana ",Freelancer,June,2023,Q2
Battery backup not working,Under 18,F," Kolkata, West Bengal",Student,February,2021,Q1
Good,45-54,M," Chavakkad, Kerala",Freelancer,October,2023,Q4
Very nice value for money,Under 18,M," Saligram, Karnataka",Student,August,2021,Q3
Lock,18-24,F," Alwar, Rajasthan",Working Professional,August,2023,Q3
GOOD FOR ATHLETES VERY GOOD DESIGN LIKE THE PRODUCT,18-24,F," New Delhi, Delhi",Working Professional,April,2022,Q2
Very nice product,55 and above,F," Agra, Uttar Pradesh",Homemaker,July,2020,Q3
Worst product,35-44,M," Pattukkottai, Tamil Nadu",Freelancer,February,2022,Q1
So disgusting product 🤮,55 and above,F," English Bazar, West Bengal",Homemaker,January,2020,Q1
Good,45-54,M," New Delhi, Delhi",Freelancer,November,2020,Q4
SIM card not getting detected.,Under 18,M," Raigachhi, West Bengal",Student,October,2022,Q4
Battery worsted,18-24,M," Sangareddy, Telangana",Working Professional,February,2020,Q1
Sim Not working in this watch sometime showing the tower sometime not showing,35-44,M," Coimbatore, Tamil Nadu",Working Professional,April,2023,Q2
We can't call anyone through Bluetooth.But we can call a normal call with our sim.,45-54,F," Kanjiramkulam, Kerala",Homemaker,August,2020,Q3
Good watch,Under 18,M," Vadodara, Gujarat",Student,August,2022,Q3
Very nice ✅✅product,18-24,M," Ranchi, Jharkhand",Freelancer,April,2023,Q2
This to good for the money I paid,Under 18,M," Bengaluru, Karnataka",Student,June,2021,Q2
Best in quality,25-34,M," Mangalam, Tamil Nadu",Working Professional,April,2020,Q2
